,United Kingdom
2020-11-12,-88.88428571428572
2020-11-13,-88.8
2020-11-14,-88.80428571428571
2020-11-15,-88.58571428571427
2020-11-16,-88.56285714285715
2020-11-17,-88.76142857142858
2020-11-18,-89.09285714285714
2020-11-19,-89.24285714285715
2020-11-20,-89.38428571428572
2020-11-21,-89.94428571428571
2020-11-22,-90.69857142857143
2020-11-23,-91.28142857142856
2020-11-24,-91.61
2020-11-25,-92.00857142857141
2020-11-26,-93.01571428571427
2020-11-27,-93.45714285714284
2020-11-28,-93.73571428571428
2020-11-29,-93.80857142857143
2020-11-30,-93.86714285714287
2020-12-01,-94.02428571428571
2020-12-02,-89.08000000000001
2020-12-03,-82.51999999999998
2020-12-04,-74.76857142857143
2020-12-05,-65.01142857142857
2020-12-06,-55.66857142857143
2020-12-07,-49.62571428571429
2020-12-08,-43.574285714285715
2020-12-09,-42.28000000000001
2020-12-10,-41.56428571428571
2020-12-11,-41.294285714285714
2020-12-12,-40.357142857142854
2020-12-13,-39.94428571428572
2020-12-14,-38.611428571428576
2020-12-15,-34.80571428571429
2020-12-16,-35.95428571428572
2020-12-17,-36.565714285714286
2020-12-18,-36.73571428571428
2020-12-19,-39.59142857142857
2020-12-20,-42.49285714285714
2020-12-21,-44.61571428571428
2020-12-22,-48.15142857142856
2020-12-23,-29.142857142857146
2020-12-24,-15.632857142857144
2020-12-25,-23.732857142857142
2020-12-26,-31.720000000000002
2020-12-27,-37.08142857142857
2020-12-28,-40.652857142857144
2020-12-29,-45.75428571428571
2020-12-30,-65.27142857142857
2020-12-31,-82.64285714285714
2021-01-01,-83.13571428571429
2021-01-02,-84.02857142857144
2021-01-03,-86.36285714285714
2021-01-04,-88.72714285714285
2021-01-05,-90.42714285714285
2021-01-06,-95.74285714285713
2021-01-07,-98.75428571428571
2021-01-08,-99.01857142857143
2021-01-09,-99.19428571428571
2021-01-10,-99.39428571428572
2021-01-11,-99.47571428571429
2021-01-12,-99.49571428571427
2021-01-13,-99.50714285714287
2021-01-14,-99.50857142857141
2021-01-15,-99.5
2021-01-16,-99.55428571428571
2021-01-17,-99.55857142857144
2021-01-18,-99.57285714285715
2021-01-19,-99.59857142857143
2021-01-20,-99.60428571428572
2021-01-21,-99.61000000000001
2021-01-22,-99.64142857142858
2021-01-23,-99.6657142857143
2021-01-24,-99.68142857142857
2021-01-25,-99.66142857142857
2021-01-26,-99.67
2021-01-27,-99.69285714285715
2021-01-28,-99.70285714285714
2021-01-29,-99.70857142857143
2021-01-30,-99.70142857142856
2021-01-31,-99.70142857142856
2021-02-01,-99.72428571428573
2021-02-02,-99.73
2021-02-03,-99.73571428571428
2021-02-04,-99.74285714285715
2021-02-05,-99.76142857142858
2021-02-06,-99.79428571428572
2021-02-07,-99.79714285714286
2021-02-08,-99.7942857142857
2021-02-09,-99.78999999999999
2021-02-10,-99.76714285714286
2021-02-11,-99.73714285714286
2021-02-12,-99.72
2021-02-13,-99.62285714285714
2021-02-14,-99.45
2021-02-15,-99.43714285714285
2021-02-16,-99.44428571428571
2021-02-17,-99.45285714285714
2021-02-18,-99.46714285714286
2021-02-19,-99.47571428571428
2021-02-20,-99.55571428571429
2021-02-21,-99.71142857142857
