date,England,London,Kent and Medway
2021-07-14,9.6,7.2,7.840595690167908
2021-07-15,10.4,8.0,8.840353723835795
2021-07-16,11.0,8.6,9.68184562311341
2021-07-17,11.3,8.9,10.124036993042592
2021-07-18,11.4,9.2,10.366343151320786
2021-07-19,11.8,9.5,10.796779206102556
2021-07-20,11.7,9.6,11.145165496067627
2021-07-21,11.4,9.4,10.961340752143029
2021-07-22,10.6,8.9,10.318581420034025
2021-07-23,9.9,8.4,9.60119759583757
2021-07-24,9.5,8.0,9.240755836058094
2021-07-25,9.1,7.8,8.984905398528936
2021-07-26,8.7,7.5,8.782253669264236
2021-07-27,8.4,7.3,8.215005628766308
