,TfL tube,TfL bus,Bus excl London,Cycling
2020-08-29,35.14285714285711,56.85714285714288,44.99999999999997,105.57142857142867
2020-08-30,35.71428571428568,57.00000000000003,46.14285714285711,107.14285714285725
2020-08-31,37.57142857142854,58.71428571428573,47.428571428571395,109.71428571428584
2020-09-01,37.28571428571426,58.5714285714286,48.99999999999997,119.85714285714297
2020-09-02,37.14285714285712,57.71428571428573,48.99999999999997,117.85714285714295
2020-09-03,37.28571428571426,57.71428571428573,49.999999999999964,122.42857142857153
2020-09-04,37.57142857142855,57.85714285714288,50.999999999999964,128.14285714285725
2020-09-05,37.57142857142855,57.85714285714288,51.1428571428571,134.14285714285725
2020-09-06,37.85714285714284,57.71428571428574,50.71428571428568,134.0000000000001
2020-09-07,36.28571428571426,56.142857142857174,50.71428571428568,129.2857142857144
2020-09-08,36.4285714285714,56.5714285714286,51.85714285714281,128.7142857142858
2020-09-09,36.4285714285714,57.42857142857145,53.428571428571395,133.7142857142858
2020-09-10,36.857142857142826,58.14285714285716,54.71428571428567,136.14285714285722
2020-09-11,36.99999999999997,58.5714285714286,55.428571428571395,135.14285714285722
2020-09-12,36.71428571428569,58.2857142857143,55.428571428571395,134.14285714285722
2020-09-13,36.57142857142854,58.2857142857143,55.71428571428567,136.71428571428578
2020-09-14,36.71428571428569,58.2857142857143,56.28571428571424,140.00000000000009
2020-09-15,36.71428571428569,58.14285714285716,56.57142857142853,140.85714285714295
2020-09-16,36.857142857142826,58.14285714285716,56.71428571428567,139.57142857142867
2020-09-17,36.71428571428569,58.14285714285716,56.85714285714282,141.14285714285722
2020-09-18,36.57142857142854,58.14285714285716,57.1428571428571,144.00000000000009
2020-09-19,36.857142857142826,58.00000000000002,57.28571428571424,143.85714285714292
2020-09-20,36.857142857142826,58.42857142857145,57.42857142857139,142.0000000000001
2020-09-21,36.857142857142826,58.42857142857145,57.57142857142853,142.4285714285715
2020-09-22,36.99999999999997,58.71428571428573,57.714285714285666,143.14285714285722
2020-09-23,36.71428571428569,58.5714285714286,57.428571428571374,135.7142857142858
2020-09-24,36.57142857142854,58.42857142857145,57.142857142857096,130.2857142857144
2020-09-25,36.57142857142854,58.285714285714306,56.999999999999964,125.71428571428582
2020-09-26,36.57142857142854,58.142857142857174,56.857142857142826,119.42857142857154
2020-09-27,36.71428571428569,57.5714285714286,56.71428571428569,113.0000000000001
2020-09-28,36.57142857142854,57.42857142857146,56.4285714285714,111.42857142857154
2020-09-29,36.428571428571395,57.28571428571432,56.57142857142855,108.85714285714296
2020-09-30,36.428571428571395,57.28571428571432,56.714285714285694,109.57142857142867
2020-10-01,36.428571428571395,57.42857142857146,57.28571428571426,111.42857142857154
2020-10-02,36.14285714285711,57.00000000000003,57.1428571428571,107.57142857142867
2020-10-03,35.71428571428568,56.571428571428605,56.14285714285712,98.57142857142868
2020-10-04,35.14285714285711,55.8571428571429,55.71428571428568,89.00000000000011
2020-10-05,34.99999999999997,56.14285714285718,55.99999999999997,86.2857142857144
2020-10-06,34.99999999999997,56.142857142857174,55.857142857142826,83.42857142857154
2020-10-07,35.14285714285712,56.42857142857146,56.28571428571425,89.2857142857144
2020-10-08,35.14285714285712,56.28571428571432,55.857142857142826,86.42857142857154
