date,England,Northern Ireland,Scotland,Wales
2021-04-01,40.39656715522446,43.56626587462315,53.77702121428441,25.500502873722716
2021-04-02,37.74941766708635,40.55623295964919,51.41581095674775,22.67768601332306
2021-04-03,36.070520844072576,37.070931689679334,49.40237585342193,21.757891755440028
2021-04-04,32.233042391469674,34.06089877470537,47.49876448300478,20.90153158430755
2021-04-05,30.467091659114445,30.047521554740086,43.41698240989878,19.28396237216842
2021-04-06,29.854161072934815,29.202600034747398,42.72143210147713,18.269016984159556
2021-04-07,28.987175200309714,28.41048610975425,40.67138908718174,18.173865854033725
2021-04-08,28.413330042814,30.10032914973963,38.25526696319075,18.04699768053262
2021-04-09,28.841493147942376,32.63509370971771,36.754342613438766,18.33245107091011
2021-04-10,28.733119913864243,34.64178231970035,35.82084088371497,18.11043176728317
2021-04-11,28.90012129096826,37.44058485467614,34.99716288689986,17.412656813027077
2021-04-12,29.27498608425493,40.13377219965284,34.301612578478206,18.522753331161773
2021-04-13,28.264094769657223,40.4506177696501,32.56273680742408,17.19063750940014
2021-04-14,27.19635192242836,43.56626587462315,31.299763878974247,16.365994381642935
2021-04-15,26.10018330888392,42.87976713962909,29.762231618252702,15.79508760088795
2021-04-16,25.243857098627156,41.50676966964097,28.956857576922374,15.414483080384626
2021-04-17,24.222306121661106,41.40115447964188,28.535866600772426,15.002161516506025
2021-04-18,24.741076356920388,40.66184814964827,27.87692420332034,15.002161516506025
2021-04-19,24.67711838271034,41.929230429637315,27.98674793622902,13.955499085121884
2021-04-20,24.707320759420643,43.302227899625436,27.620668826533414,13.765196824870221
2021-04-21,25.13015403336485,40.55623295964919,28.059963758168138,13.257724130865789
2021-04-22,25.25629337139022,38.65515953966563,28.64569033368111,12.71853439348608
2021-04-23,24.85655603257742,37.28216206967751,28.005051891713798,12.337929872982757
2021-04-24,24.66112888915783,36.595663334683444,26.943422473596545,12.337929872982757
2021-04-25,23.977133887189254,36.701278524682536,25.808577233540166,11.640154918726662
2021-04-26,23.891856588242526,35.064243079696695,24.58221221605989,11.069248137971675
2021-04-27,23.49744908061389,34.32493674970309,23.75853421924478,11.164399268097508
2021-04-28,23.294915495615406,33.638438014709024,22.98976808888401,10.688643617468353
2021-04-29,23.071062585880235,34.37774434470263,21.96474658173631,10.688643617468353
