,Belgium,France,Germany,Italy,Netherlands,Poland,Spain,Sweden,Switzerland,United Kingdom
2020-07-29,-14.857142857142858,-6.714285714285714,-4.285714285714286,-6.857142857142857,5.0,5.0,-18.857142857142858,7.285714285714286,-10.0,-30.714285714285715
2020-07-30,-15.714285714285714,-6.714285714285714,-3.7142857142857144,-6.714285714285714,5.142857142857143,5.428571428571429,-18.857142857142858,7.714285714285714,-10.0,-29.714285714285715
2020-07-31,-16.857142857142858,-7.285714285714286,-3.4285714285714284,-6.285714285714286,4.0,5.714285714285714,-18.857142857142858,7.0,-10.571428571428571,-29.285714285714285
2020-08-01,-17.0,-7.571428571428571,-3.7142857142857144,-6.571428571428571,3.5714285714285716,5.571428571428571,-18.428571428571427,6.142857142857143,-16.142857142857142,-28.714285714285715
2020-08-02,-15.857142857142858,-7.285714285714286,-3.4285714285714284,-6.571428571428571,2.7142857142857144,6.285714285714286,-18.0,5.714285714285714,-17.857142857142858,-28.0
2020-08-03,-15.571428571428571,-6.142857142857143,-2.7142857142857144,-6.571428571428571,2.5714285714285716,6.0,-17.142857142857142,4.571428571428571,-17.571428571428573,-26.0
2020-08-04,-14.428571428571429,-5.428571428571429,-1.8571428571428572,-5.714285714285714,3.2857142857142856,6.0,-16.428571428571427,4.0,-16.857142857142858,-25.0
2020-08-05,-13.571428571428571,-4.857142857142857,-1.7142857142857142,-4.857142857142857,3.0,6.142857142857143,-15.857142857142858,3.4285714285714284,-16.714285714285715,-23.714285714285715
2020-08-06,-13.285714285714286,-4.285714285714286,-2.142857142857143,-4.0,1.7142857142857142,5.857142857142857,-15.428571428571429,2.5714285714285716,-16.571428571428573,-23.714285714285715
2020-08-07,-12.428571428571429,-4.0,-2.7142857142857144,-3.5714285714285716,1.2857142857142858,5.428571428571429,-15.285714285714286,1.8571428571428572,-16.428571428571427,-23.571428571428573
2020-08-08,-12.714285714285714,-4.142857142857143,-3.2857142857142856,-3.4285714285714284,0.0,5.142857142857143,-15.285714285714286,1.1428571428571428,-11.142857142857142,-23.428571428571427
2020-08-09,-14.571428571428571,-4.142857142857143,-3.857142857142857,-3.2857142857142856,-1.7142857142857142,4.142857142857143,-15.142857142857142,0.42857142857142855,-9.571428571428571,-23.428571428571427
2020-08-10,-14.857142857142858,-4.571428571428571,-4.857142857142857,-2.2857142857142856,-2.4285714285714284,4.857142857142857,-15.285714285714286,-0.5714285714285714,-10.285714285714286,-22.857142857142858
2020-08-11,-16.0,-5.285714285714286,-6.0,-2.142857142857143,-4.857142857142857,5.857142857142857,-15.714285714285714,-1.5714285714285714,-10.857142857142858,-22.0
2020-08-12,-16.857142857142858,-6.142857142857143,-7.0,-2.0,-6.428571428571429,6.142857142857143,-15.714285714285714,-2.2857142857142856,-11.428571428571429,-21.714285714285715
2020-08-13,-17.428571428571427,-6.428571428571429,-7.428571428571429,-1.8571428571428572,-7.285714285714286,6.714285714285714,-15.714285714285714,-2.7142857142857144,-11.428571428571429,-21.857142857142858
2020-08-14,-16.285714285714285,-6.142857142857143,-6.857142857142857,-1.7142857142857142,-6.571428571428571,8.142857142857142,-15.714285714285714,-2.4285714285714284,-10.857142857142858,-21.571428571428573
2020-08-15,-18.428571428571427,-7.285714285714286,-6.428571428571429,-5.142857142857143,-4.857142857142857,3.4285714285714284,-16.857142857142858,-2.2857142857142856,-11.142857142857142,-21.285714285714285
2020-08-16,-17.142857142857142,-7.428571428571429,-5.0,-5.428571428571429,-4.142857142857143,4.857142857142857,-16.857142857142858,-2.7142857142857144,-11.0,-21.428571428571427
2020-08-17,-15.714285714285714,-7.571428571428571,-5.0,-5.714285714285714,-4.142857142857143,5.142857142857143,-17.142857142857142,-3.5714285714285716,-10.714285714285714,-21.142857142857142
2020-08-18,-15.0,-7.428571428571429,-4.714285714285714,-5.714285714285714,-3.2857142857142856,4.571428571428571,-17.142857142857142,-4.142857142857143,-10.714285714285714,-20.857142857142858
2020-08-19,-14.428571428571429,-7.428571428571429,-4.285714285714286,-6.142857142857143,-2.5714285714285716,4.0,-18.142857142857142,-4.857142857142857,-10.428571428571429,-21.0
2020-08-20,-13.857142857142858,-7.857142857142857,-4.428571428571429,-6.857142857142857,-1.5714285714285714,3.4285714285714284,-18.857142857142858,-5.142857142857143,-10.714285714285714,-20.285714285714285
2020-08-21,-14.0,-8.285714285714286,-5.285714285714286,-7.714285714285714,-1.0,1.8571428571428572,-19.571428571428573,-5.142857142857143,-11.285714285714286,-20.285714285714285
2020-08-22,-10.285714285714286,-7.142857142857143,-4.857142857142857,-5.0,-0.8571428571428571,6.0,-19.142857142857142,-4.285714285714286,-10.285714285714286,-20.0
2020-08-23,-10.571428571428571,-7.428571428571429,-5.285714285714286,-5.428571428571429,-0.14285714285714285,4.714285714285714,-19.714285714285715,-4.0,-10.0,-19.571428571428573
2020-08-24,-11.428571428571429,-8.142857142857142,-5.571428571428571,-6.0,-0.14285714285714285,4.0,-20.428571428571427,-4.285714285714286,-10.142857142857142,-18.714285714285715
