,Cars,Motorbikes,Buses,Trucks,Vans,Pedestrians & cyclists
2020-08-10,0.9258857084944042,1.4391422530957414,0.9204922942874258,0.8820422002240184,0.9025292461771321,0.7968611929307806
2020-08-11,0.9275342348805617,1.4321957112654786,0.9238219711998505,0.8840856113583386,0.899332324275388,0.7908627884143348
2020-08-12,0.9265826627145968,1.4430685593476291,0.9197843489625879,0.8787046287046287,0.8955907939965767,0.7830878743249877
2020-08-13,0.9276710296200551,1.429477499244941,0.9202277872429808,0.8761465806920352,0.8923160708981087,0.771741531664212
2020-08-14,0.9300889016031445,1.447296889157354,0.9295944484639144,0.8872491145218417,0.9083537266773231,0.789954590083456
2020-08-15,0.9209965446847006,1.3995771670190273,0.9267626671645622,0.8929101201828475,0.9149597555627855,0.780090206185567
2020-08-16,0.91517028698438,1.3965569314406525,0.9315160143456174,0.8946735083098719,0.9207948453170751,0.7878896661757485
2020-08-17,0.9175532114062849,1.3926306251887648,0.9388833134953051,0.8970423515878061,0.9266688356697268,0.7970146048109966
2020-08-18,0.9224024351460632,1.3853820598006645,0.9426330898312602,0.8977764659582841,0.932086628096134,0.8161082474226804
2020-08-19,0.9157903565699668,1.3225611597704623,0.9494013583214693,0.9092271364998638,0.9365920246700522,0.7895403780068728
2020-08-20,0.9169231568032169,1.2866203563877983,0.9428120210672082,0.9088562952199316,0.9351809938749239,0.7908198330878744
2020-08-21,0.9271383289374293,1.2718212020537603,0.944756925805774,0.9067144976235886,0.9322068663092528,0.8013776386843398
2020-08-22,0.9410794103447777,1.2805798852310482,0.9449436366606763,0.9065631338358612,0.926951749112359,0.8112113402061857
2020-08-23,0.9521248366825578,1.2805798852310482,0.9449825347554477,0.9091211818484546,0.927864144964848,0.8208609474717721
2020-08-24,0.9531348212007883,1.26336454243431,0.9498836946966337,0.9118305936487755,0.9303148826616496,0.8311119293078055
2020-08-25,0.9484833008071389,1.224403503473271,0.9454959896064291,0.9180138043774407,0.9288331235058634,0.8112358861070202
2020-08-26,0.9645491939345012,1.2567200241618846,0.9443446060011981,0.9150546423273695,0.9328222030469778,0.8653135738831615
2020-08-27,0.9585422074177696,1.2265176683781334,0.9468185248286538,0.9146610964792784,0.9283698527435531,0.8523778841433481
2020-08-28,0.9536984754376059,1.1860465116279069,0.942072957266553,0.917552144824872,0.9284405811042111,0.8395434462444771
2020-08-29,0.9507139537124545,1.1942011476895196,0.9482188562404215,0.923954833045742,0.938126830096332,0.8483922434953363
2020-08-30,0.9546250850598677,1.1760797342192693,0.9517585828646113,0.9270956316410862,0.9437355890965159,0.8649177712322041
2020-08-31,0.9629071578097065,1.1935971005738448,0.9116235286795653,0.8667090485272303,0.8864809811438191,0.8845023318605794
2020-09-01,0.9679975197216576,1.216248867411658,0.9149298667351272,0.8650818878091605,0.8874676417749988,0.901064678448699
2020-09-02,0.959968567164969,1.190878888553307,0.9167191790946079,0.8673523446250719,0.8903922594882095,0.8837475454099166
2020-09-03,0.9663345150601522,1.2277257626094837,0.92604694222077,0.8836844973208609,0.9103199751036171,0.9219440353460973
2020-09-04,0.9696645183901555,1.2609483539716098,0.9331652935639213,0.8912905276541639,0.9189559079399657,0.9505522827687776
2020-09-05,0.9739675616737086,1.245847176079734,0.9294855337985545,0.8945070081433719,0.9172124538497446,0.9540623465881197
2020-09-06,0.96998204194606,1.2376925400181213,0.9237519546292622,0.8937123482578028,0.9121730581528581,0.9391721894943544
2020-09-07,0.9662451491536949,1.2370884929024464,0.9653028994639843,0.9658220567311477,0.9800758208026255,0.94821735395189
2020-09-08,0.9680284732758496,1.282392026578073,0.9706863957803347,0.9756758393122029,0.9920784236062977,0.9756044428080511
2020-09-09,0.9743464930871227,1.3388704318936877,0.9739149376463541,0.9832743014561197,0.9954698484998515,1.0051822533136965
2020-09-10,0.9801078481738151,1.3385684083358502,0.9691304719894819,0.9765083401447037,0.9892528255980083,1.0025773195876289
2020-09-11,0.9879395966352489,1.334340078526125,0.9668354843979741,0.9758423394787031,0.9904941083275572,1.0037524545900836
2020-09-12,0.9922311571486983,1.3328299607369376,0.9673411596300013,0.9765234765234766,0.9906426378849391,1.003786205203731
2020-09-13,0.9956944604620767,1.329507701600725,0.9626189309247632,0.9807086852541398,0.9882697013848613,0.9884756995581737
2020-09-14,0.9936430386205498,1.3050437934158865,0.9508561470659167,0.9729815638906548,0.9752238552614827,0.9495888561610212
2020-09-15,0.9905352019295047,1.27182120205376,0.9435899829626344,0.9679562861381044,0.9648267862447485,0.9253681885125183
2020-09-16,0.989231657897325,1.2543038356991845,0.9409371328992305,0.965526897345079,0.9607351505806798,0.91006381934217
2020-09-17,0.98629706125958,1.2334642102083961,0.9359037194358221,0.9690006962734236,0.9595115499412954,0.9028718703976437
2020-09-18,0.9779326121155207,1.212020537601933,0.925813553652142,0.9639829867102595,0.9465046044162788,0.8809155621011292
2020-09-19,0.972703957711454,1.2147387496224706,0.9188274558312133,0.960917870008779,0.9414828908095568,0.8726159793814432
2020-09-20,0.9686730061542654,1.199637571730595,0.9174893613710802,0.9603124148578693,0.9401531976291854,0.8788997299950908
2020-09-21,0.9657613750567274,1.213832678948958,0.9198388062952676,0.9678806042442406,0.9449627261539332,0.8949558173784977
2020-09-22,0.9636919801837343,1.199637571730595,0.9146186819769568,0.9691671964399237,0.9449450440637686,0.8961370888561611
2020-09-23,0.9577459022736384,1.1501057082452433,0.9152488311122521,0.9738746102382466,0.9476504038589394,0.8831615120274913
2020-09-24,0.9488577389626865,1.1488976140138931,0.9119969503893699,0.9711424938697666,0.9464727766539828,0.8771017427589591
2020-09-25,0.9499201448226936,1.1546360616128057,0.9165246886207513,0.9775603184694094,0.9526296804492665,0.877712322042219
2020-09-26,0.9512067143251551,1.1498036846874056,0.9253623357527949,0.984341416159598,0.9620648437610512,0.8905406234658813
2020-09-27,0.9480549435571924,1.1866505587435818,0.9377163706521655,0.9850074168255987,0.971828893949896,0.9182253313696612
2020-09-28,0.9464398669795971,1.1803080640289942,0.9361059895286329,0.9799291617473436,0.9670511931874443,0.9224165439371624
2020-09-29,0.9416365743202325,1.1682271217154938,0.9410227087077274,0.9839630066902795,0.9669097364661281,0.9221496072655866
2020-09-30,0.9310015322009325,1.1425551192993053,0.9306913747364653,0.9813141404050495,0.9589775508183271,0.9128804614629357
2020-10-01,0.9340434677766012,1.1636967683479311,0.9383931975011864,0.9877849423303969,0.9622169097364661,0.9337874324987727
2020-10-02,0.9051093833702529,1.0694654183026275,0.9255957243214228,0.9957845185117913,0.9481030653671508,0.8707719685812468
2020-10-03,0.886262662874357,1.0151011778918757,0.9158789802475474,0.9897375351920806,0.9372038249897444,0.8378804614629356
2020-10-04,0.8623305729752506,0.8903654485049834,0.8987949370239846,0.9941346532255623,0.9262338562516798,0.7536450662739321
2020-10-05,0.860737463436114,0.8701298701298701,0.9026225095494823,1.0043138679502317,0.9322528397436803,0.7434278350515464
2020-10-06,0.863151840663085,0.8843249773482332,0.9013077539462117,0.9999848636212273,0.9340069030880002,0.7457934462444771
2020-10-07,0.8690310189560565,0.9021443672606464,0.9014555667063426,0.9958450640268822,0.9344489553421129,0.764868679430535
2020-10-08,0.8630804477880939,0.8719420114768951,0.8972779113279031,0.9936427209154483,0.9290912820222653,0.749742268041237
2020-10-09,0.887197759761478,0.959830866807611,0.9098419959390389,0.9846063027881209,0.9438452180555359,0.8172434953362789
2020-10-10,0.905786367555483,1.0090607067351254,0.9227950614978878,0.9849090303635758,0.9495848245229371,0.8630246686303388
2020-10-11,0.9322591451526984,1.121111446692842,0.9357403474377824,0.9743362697908153,0.9476185760966434,0.9426975945017182
2020-10-12,0.910687513386164,1.0966475385080037,0.9182984417423234,0.9532739987285442,0.9265804252189043,0.9146446980854197
2020-10-13,0.8979176745293687,1.037148897614014,0.9184151360266375,0.9562710017255471,0.9230298615138699,0.8835419734904272
2020-10-14,0.8966865218739282,1.0456055572334644,0.9191853183031096,0.9548481821209094,0.9203775479891927,0.875536941580756
2020-10-15,0.8925147815702538,1.038356991845364,0.9128060307606133,0.9454030817667182,0.9148465901857327,0.8695999018163967
2020-10-16,0.8748852347053246,1.025369978858351,0.8951929734481604,0.9267701994974723,0.8957923698244522,0.8657032400589102
2020-10-17,0.850219745272219,1.028994261552401,0.8773387479481255,0.9133366633366633,0.8810207517010171,0.8474134756995583
2020-10-18,0.8285567505957312,1.0166112956810631,0.8691623684271945,0.9055868374050193,0.876543646471362,0.8387088856161021
2020-10-19,0.83139599031653,1.0347327091513139,0.8635921612559417,0.8973677837314201,0.868830718741601,0.8564923907707414
2020-10-20,0.8202766748493885,1.0601026880096647,0.8422448868454423,0.8733993279447825,0.8464628746834906,0.8680258959253804
2020-10-21,0.793662110003939,0.9957716701902747,0.8249196754342972,0.8568931068931069,0.8198442561498309,0.8166912125675011
2020-10-22,0.7796880780389027,0.99879190576865,0.8084580017270755,0.8411815457270003,0.8017484050754672,0.807851620029455
2020-10-23,0.7736626192398307,1.0039263062518877,0.8066920282244576,0.8391305664032938,0.7968575389359626,0.7981007609229259
2020-10-24,0.7645512907881724,0.9465418302627605,0.798647902225749,0.839849544394999,0.793310511648961,0.7664457535591557
2020-10-25,0.7626925797840342,0.906674720628209,0.7897791366178886,0.8364817001180638,0.7856188024273975,0.7365273686794305
2020-10-26,0.7622921805830352,0.8891573542736333,0.7909771979368452,0.8357702903157449,0.785449054361818,0.7305443053510065
2020-10-27,0.7566331719255258,0.8710359408033828,0.7903626080394582,0.8373293373293373,0.779918096558358,0.7005001227295041
2020-10-28,0.7609986215683368,0.9039565086076714,0.7884488217767095,0.8322208094935367,0.781481193328901,0.7231836033382425
2020-10-29,0.7571528920854258,0.8737541528239203,0.7944858060852179,0.8368071322616777,0.7804379500091947,0.6970575601374571
2020-10-30,0.7572352684796463,0.8477801268498942,0.7973876039551583,0.8436260708987982,0.7829983166650163,0.6919121256750123
2020-10-31,0.7662362624881365,0.8604651162790697,0.8004294349662754,0.8451170042079132,0.7826022378453311,0.6858676975945016
2020-11-01,0.7747559786540296,0.8719420114768953,0.8023354416100699,0.8524127387763751,0.7915352297964438,0.6936548846342661
2020-11-02,0.7826960645551351,0.8731501057082454,0.8019153421865397,0.8588154269972452,0.7981801592802683,0.6939402307314678
2020-11-03,0.7993081381387228,0.8758683177287828,0.8040936354937335,0.8632049768413406,0.808089202608462,0.7239752086401571
2020-11-04,0.815489358217994,0.8662035638779825,0.8030589461728165,0.8721278721278721,0.8160178518382301,0.7370060137457044
2020-11-05,0.8038433330787154,0.9099969797644215,0.7903937265152753,0.8664820028456391,0.8096452265429391,0.749990795287187
2020-11-06,0.7870470359225982,0.9498640893989732,0.779852342832248,0.8524884206702389,0.7978795637474716,0.7448054737358861
2020-11-07,0.7613605784520328,0.9806704922983993,0.7706101555145829,0.8395014076832259,0.7818242258780926,0.7498588610702013
2020-11-08,0.7234150157688389,0.9927514346118997,0.7613135108642378,0.8227378681924137,0.7562806784264354,0.7391353706431026
2020-11-09,0.6988778338103676,0.9737239504681365,0.7584972888027943,0.8074576938213303,0.7378099670405839,0.7178141875306824
2020-11-10,0.6758863325579967,0.9900332225913621,0.7546074793256626,0.7925634971089517,0.7230206668269844,0.7043139420716741
2020-11-11,0.652683648185897,1.0338266384778012,0.7618036268583565,0.7844201253292162,0.7182076018842035,0.7044796269023073
2020-11-12,0.6558439062187188,1.0220477197221383,0.7679106277374534,0.7792737565464838,0.7173694708104056,0.7041451890034364
2020-11-13,0.6610126505178978,1.0187254605859257,0.770260072661641,0.7769578905942544,0.7119728968921958,0.7012579774177713
2020-11-14,0.6595278784184331,0.9667774086378736,0.7753090453629581,0.780847939938849,0.710618448785594,0.670437530682376
2020-11-15,0.6661709105487217,0.9320446994865599,0.775838059451848,0.7831259649441468,0.710508819826574,0.6511014972999509
2020-11-16,0.6687290720274228,0.9483539716097855,0.78120599653029,0.7874398328943784,0.7168283988513714,0.662730117820324
2020-11-17,0.6694634700631702,0.9447296889157355,0.7870095922701706,0.7921396785033148,0.7202198237449252,0.6720882425135003
2020-11-18,0.6648713605235343,0.9317426759287225,0.776662699061,0.7838752156933975,0.7096141060642497,0.6575969563082965
2020-11-19,0.661714097995957,0.9311386288130475,0.7774328813374721,0.7823464414373505,0.7064065749084067,0.6457228767795778
2020-11-20,0.6556666721584262,0.8761703412866204,0.7781174878054473,0.7849271940181032,0.7055330796542797,0.6223858615611192
2020-11-21,0.667267764719039,0.9453337360314106,0.78574929399958,0.7830578512396694,0.713458192466015,0.6686763622974963
2020-11-22,0.6757879801358062,0.9631531259438236,0.7897246792852087,0.7857067175248994,0.7190775607202976,0.6918722385861561
