,United Kingdom,Sweden
2021-05-25,1876.652,1416.907
2021-05-26,1876.784,1420.844
2021-05-27,1876.93,1422.32
2021-05-28,1877.077,1422.32
2021-05-29,1877.18,1422.32
2021-05-30,1877.268,1422.32
2021-05-31,1877.297,1422.32
2021-06-01,1877.297,1422.32
2021-06-02,1877.473,1422.32
2021-06-03,1877.737,1428.324
2021-06-04,1877.898,1429.407
2021-06-05,1878.089,1429.407
2021-06-06,1878.147,1429.407
2021-06-07,1878.162,1429.407
2021-06-08,1878.367,1431.671
2021-06-09,1878.455,1433.245
2021-06-10,1878.558,1433.541
2021-06-11,1878.807,1434.426
2021-06-12,1878.983,1434.426
2021-06-13,1879.1,1434.426
2021-06-14,1879.144,1434.426
2021-06-15,1879.291,1434.426
2021-06-16,1879.423,1434.426
2021-06-17,1879.701,1434.426
2021-06-18,1879.863,1434.426
2021-06-19,1880.068,1434.426
2021-06-20,1880.156,1434.426
2021-06-21,1880.229,1434.426
2021-06-22,1880.625,1437.773
2021-06-23,1880.904,1438.56
2021-06-24,1881.211,1438.855
2021-06-25,1881.475,1438.855
2021-06-26,1881.813,1438.855
2021-06-27,1881.974,1438.855
2021-06-28,1882.018,1438.855
2021-06-29,1882.355,1439.544
2021-06-30,1882.56,1439.84
2021-07-01,1882.883,1439.938
2021-07-02,1883.279,1440.037
2021-07-03,1883.543,1440.037
2021-07-04,1883.762,1440.037
2021-07-05,1883.894,1440.037
2021-07-06,1884.437,1440.233
2021-07-07,1884.921,1440.824
2021-07-08,1885.448,1441.119
2021-07-09,1885.888,1441.218
2021-07-10,1886.387,1441.218
2021-07-11,1886.768,1441.218
2021-07-12,1886.856,1441.218
2021-07-13,1887.589,1441.414
2021-07-14,1888.322,1441.119
2021-07-15,1889.304,1441.218
2021-07-16,1890.023,1441.513
2021-07-17,1890.712,1441.513
2021-07-18,1891.122,1441.513
2021-07-19,1891.401,1441.513
2021-07-20,1892.896,1441.907
2021-07-21,1893.967,1442.005
2021-07-22,1895.198,1442.005
2021-07-23,1896.137,1442.005
2021-07-24,1897.427,1442.005
2021-07-25,1897.837,1442.005
2021-07-26,1898.042,1442.005
2021-07-27,1899.963,1442.399
2021-07-28,1901.825,1442.399
2021-07-29,1903.159,1442.497
2021-07-30,1904.156,1442.399
2021-07-31,1905.212,1442.399
2021-08-01,1906.165,1442.399
2021-08-02,1906.531,1442.399
2021-08-03,1908.584,1442.596
2021-08-04,1910.358,1442.596
2021-08-05,1911.677,1442.596
2021-08-06,1913.026,1442.596
2021-08-07,1914.536,1442.596
2021-08-08,1915.196,1442.596
2021-08-09,1915.739,1442.596
2021-08-10,1917.879,1442.694
2021-08-11,1919.463,1442.694
2021-08-12,1920.855,1442.694
2021-08-13,1922.321,1442.694
2021-08-14,1923.7,1442.694
2021-08-15,1924.565,1442.694
2021-08-16,1924.96,1442.694
2021-08-17,1927.453,1442.792
2021-08-18,1929.08,1443.088
2021-08-19,1930.752,1443.284
2021-08-20,1932.423,1443.678
2021-08-21,1933.948,1443.678
2021-08-22,1934.666,1443.678
2021-08-23,1935.282,1443.678
2021-08-24,1937.833,1443.875
2021-08-25,1940.018,1444.269
2021-08-26,1942.099,1445.056
2021-08-27,1943.58,1445.351
2021-08-28,1945.53,1445.351
2021-08-29,1946.425,1445.351
2021-08-30,1947.128,1445.351
2021-08-31,1947.876,1446.04
2021-09-01,1950.911,1446.04
2021-09-02,1953.521,1446.04
2021-09-03,1955.295,1446.04
2021-09-04,1957.054,1446.04
2021-09-05,1958.051,1446.04
2021-09-06,1958.711,1446.04
2021-09-07,1961.789,1446.729
2021-09-08,1964.59,1446.828
2021-09-09,1967.038,1447.025
2021-09-10,1969.193,1447.123
2021-09-11,1971.481,1447.123
2021-09-12,1972.302,1447.123
2021-09-13,1973.211,1447.123
2021-09-14,1975.952,1449.682
2021-09-15,1978.899,1450.765
2021-09-16,1981.23,1452.044
2021-09-17,1983.869,1454.21
2021-09-18,1986.274,1454.21
2021-09-19,1987.168,1454.21
2021-09-20,1987.901,1454.21
2021-09-21,1990.892,1455.686
2021-09-22,1993.355,1457.556
2021-09-23,1996.214,1457.95
2021-09-24,1998.853,1458.737
2021-09-25,2000.744,1458.737
2021-09-26,2001.683,1458.737
2021-09-27,2002.269,1458.737
2021-09-28,2004.864,1461.591
2021-09-29,2007.21,1462.182
2021-09-30,2009.219,1462.969
2021-10-01,2011.095,1463.363
2021-10-02,2012.913,1463.363
2021-10-03,2013.544,1463.363
2021-10-04,2014.13,1463.363
2021-10-05,2016.564,1464.15
2021-10-06,2018.763,1465.43
2021-10-07,2020.581,1466.906
2021-10-08,2022.443,1467.005
2021-10-09,2024.73,1467.005
2021-10-10,2025.287,1467.005
2021-10-11,2025.698,1467.005
2021-10-12,2028.395,1468.481
