,Black 44.2%,Mixed 38.5%,Other 43.1%,South Asian 28.5%,Unknown 28.3%,White 15.5%,All 19.3%
2021-05-26,59.11073854207654,58.21558831642505,60.90595919130828,48.348362137744594,48.606430877272466,28.320777353035425,33.68687644074117
2021-05-27,58.7412108873796,57.700677353112454,60.36038844637039,47.69344682902749,48.14875120348871,27.886894338507233,33.23345845312922
2021-05-28,58.3956340991908,57.27771477610568,59.895873926394714,47.13840466993072,47.77460780427026,27.558923687955954,32.880537579558634
2021-05-29,58.103091372555724,56.9099212308824,59.47656383957102,46.51563244385005,47.46276264371071,27.28803244932277,32.576570000735245
2021-05-30,57.9097736643115,56.63714101817513,59.15233893972223,46.09145854977299,47.2302061505352,27.09841355002645,32.36235647827331
2021-05-31,57.778043898516756,56.40114015999019,58.868642152354525,45.768879756171756,47.05853202695815,26.967811483940523,32.20951553000418
2021-06-01,57.6326279232888,56.192723817697,58.63638489236669,45.49968143909173,46.88154839440448,26.820418433321663,32.04806489721142
2021-06-02,57.40338391528236,55.85251478836547,58.2934547098343,45.08182136481825,46.572534971965794,26.56621882428334,31.774421693966858
2021-06-03,57.170718354917625,55.4755264045116,57.897526226365095,44.61058081402357,46.25077872798323,26.289117902021133,31.476473275120185
2021-06-04,56.91752348040306,55.10773285928832,57.529655666921265,44.17722318205038,45.9205272696381,26.01435182080344,31.18225825929703
2021-06-05,56.62840230612629,54.687835228491736,57.07449378828738,43.55502493958823,45.51204904570425,25.681016003596653,30.8185943280465
2021-06-06,56.45219235967359,54.41199006957428,56.793914548033605,43.16299412814758,45.27630684714278,25.49939517681453,30.613714313143376
2021-06-07,56.272560860862576,54.17292426517915,56.52268794912163,42.85648687586456,45.056847142776235,25.329498232724035,30.425863187541395
2021-06-08,56.07411082408088,53.8878842676311,56.214050784842485,42.54251783654095,44.810485926261535,25.135259328807706,30.2140497098803
2021-06-09,55.79354353069988,53.45879179820394,55.81188720714542,42.103994352001195,44.41121085122048,24.837293869551928,29.89206274707604
2021-06-10,55.52666244675209,53.00517975909523,55.3894595732078,41.6545651787098,43.98609616582658,24.52526968656001,29.55529455597457
2021-06-11,55.2238550630421,52.591412020719034,55.00444250463735,41.239575022528854,43.543283117177324,24.20470097889452,29.21296435628703
2021-06-12,54.86972439395753,52.045851595304505,54.51187006063629,40.708066191790884,42.91888486152801,23.773103127941837,28.7528033856632
2021-06-13,54.67811746189246,51.711772458393355,54.186086387230525,40.37572967667503,42.562793792830035,23.531273208692554,28.49058896718452
2021-06-14,54.51730450105213,51.44205719189628,53.91641856187552,40.105383392357986,42.281389817069716,23.32645300387236,28.27176583486701
2021-06-15,54.29661437394146,51.092653323934165,53.585958567798855,39.770750942768096,41.87999093843801,23.054816603203705,27.980712782829087
2021-06-16,54.03486561853113,50.62065160756429,53.18535376365875,39.379294114945964,41.38054312737158,22.72605111314789,27.62737285381708
2021-06-17,53.73376901100029,50.05363655867839,52.75824980905024,38.91953323652143,40.75331313360141,22.33131394421717,27.2024506362214
2021-06-18,53.3950353275281,49.526465810525025,52.246972082365595,38.42418537374943,40.169621113439426,21.965091642511,26.799319301579345
2021-06-19,52.99642447778557,48.87976216017409,51.67801973407323,37.78878550806159,39.36646938891092,21.503687310138915,26.286052577743362
2021-06-20,52.79797444100388,48.490513991479446,51.36002992845229,37.45070915676067,38.87480885767685,21.233938653293492,25.986808896623216
2021-06-21,52.62860759926779,48.18708431667025,51.10594983866694,37.196434413761835,38.46987030639406,21.002888744824233,25.73541372772293
2021-06-22,52.35146185824509,47.764121739663466,50.755225788349726,36.84113855390567,37.95378603386759,20.716696845729103,25.416817304399203
2021-06-23,52.053786803072555,47.29518496950379,50.36864994622231,36.45656952950562,37.36797021011496,20.392799747638463,25.057953462750348
2021-06-24,51.70307768634629,46.81705336071352,49.960251274297384,36.05420701293185,36.766225859432524,20.061451029192966,24.688651331015322
2021-06-25,51.390005645561395,46.33892175192326,49.59082194129659,35.679395710046435,36.19598459534462,19.76055459926428,24.349711670808333
2021-06-26,50.977708586385646,45.79949121892911,49.145012704004486,35.183473863655934,35.49017386872062,19.39259358614197,23.931875299767498
