,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West
2020-11-19,15.798782916036869,15.801520887846749,15.147238089387075,14.82474840812728,19.367662831274895,18.980037877430483,13.86013250324677
2020-11-20,15.725724581766888,15.77281085913672,15.861984022839383,15.080084613168191,18.58694066326949,19.20428487960214,13.317601441235187
2020-11-21,17.65208584357119,16.810493648788015,17.03370240449383,15.056649401763055,18.307534617153088,20.593689126149247,13.519662463663959
2020-11-22,17.712627859730404,16.672848662736037,16.837691545149166,15.700475995326643,18.326142957350154,21.294601117383817,14.547426969689335
2020-11-23,20.0964968830441,16.254549393436026,16.402022283006044,16.71694961180026,18.3228253975059,20.37615681658657,16.2515818270734
2020-11-24,21.72064106037977,16.290557221224677,16.681166172079987,16.57958697443762,17.946674937321824,20.700915072379306,15.806772324324934
2020-11-25,21.70368929585519,16.78162204093494,17.84112370701794,16.971894157916285,18.998998305693565,20.45507533122761,15.733294657396092
2020-11-26,22.26146485363075,16.201301460614363,17.702792367417935,16.741548855238253,19.909892966588227,18.97587390438221,16.39717466723135
2020-11-27,23.80797738975509,16.149183226677945,17.125690744542265,17.26646874718696,20.407657868396146,18.740651610336382,16.227106640020466
2020-11-28,24.138665220442924,15.7500235628124,17.404254603443615,17.549644218332354,22.327166930762353,19.803061422746193,16.742681290933465
2020-11-29,24.19535456284655,16.56394577116269,17.823002224195772,18.54854952758249,23.61968393756507,18.946154354659,17.495081065072366
2020-11-30,22.18540897717653,16.835138142783723,18.884714430785177,18.490973154216647,24.69528961843391,18.434860093364737,16.73440320294523
2020-12-01,22.549827985663335,16.77544751494023,18.78432133604533,20.292148169677375,25.833755054859733,19.412503139973303,16.662484275191066
2020-12-02,23.046982822440814,16.393586641709213,20.053780725241925,20.702735596153584,26.124826187145402,20.173061080525002,15.890462452001277
2020-12-03,22.796943007183607,16.86001663834055,21.224494069868314,20.800023419579897,26.826183213352724,21.84511451728432,15.94023845996544
2020-12-04,21.9785410701376,16.78841668404265,21.800901166306833,20.5588099689731,28.238445956681776,22.235398836140067,17.757840500781768
2020-12-05,20.024108503460134,16.803978464310315,21.942336601153386,21.39204752787438,28.77237149060731,20.903888754629985,17.76555208744072
2020-12-06,21.12265603057909,17.302323633341413,22.30544932149443,20.39389200680908,29.183626901862727,21.61741588659113,17.081545083209
2020-12-07,22.00897414853563,17.717427255504873,22.338842520355254,20.247693176399725,28.831107253226573,21.970869663411744,18.566490913392926
2020-12-08,22.701803722049878,18.32327725161829,23.585618458453265,19.80119796389466,29.49834960716327,21.264908957451038,18.646121427806047
2020-12-09,24.96372279084312,19.90795085615944,22.554132673218792,20.186298611941915,29.565071391825963,21.115819189717204,19.97085261060175
2020-12-10,24.729300831315975,20.72058469365802,22.73516376334079,21.16384072048839,29.423528263061403,21.459289911339187,22.497864893711597
2020-12-11,24.970020741327225,21.587298624888074,23.537872906699626,21.869573168693613,28.919161756733473,22.023606547084395,23.57822203656874
2020-12-12,26.61058011277556,21.85184888943834,23.82989855286272,22.57116441734842,28.54778553789963,22.013878033418873,25.16158491025419
2020-12-13,26.76834156085959,20.959956918797054,24.045545748338416,22.64695213594862,28.940101555215644,20.991887906537066,26.66302669209768
2020-12-14,26.31877249493832,20.94791924086513,24.17610302175283,23.88337653026775,29.60608978655115,20.99484212501334,26.60504895554852
2020-12-15,25.213423864837214,19.714254274744782,22.981966276145496,23.496855074988506,28.304583676860897,21.373630003801217,27.435571568249348
2020-12-16,23.657994346767385,18.05920200993642,23.066466606531964,23.42117738750014,29.03777754579118,21.312331771771277,28.854524892153165
