,England,Northern Ireland,Scotland,Wales
2021-02-28,5942.076506340936,5263.483872447328,5428.770157230977,5640.558993859263
2021-03-01,5974.522488178288,5548.795764287717,5500.652405270494,5700.866686334253
2021-03-02,5757.496838388557,5529.785030087883,5654.117997756458,5845.5870242494475
2021-03-03,5411.963882718771,5554.604599737667,5648.7314051423655,5974.766010910753
2021-03-04,5201.696966473537,5485.351210866837,5689.915304983121,6319.167791904297
2021-03-05,5084.727476099787,5357.7831492322275,5638.115110961194,6624.013888802672
2021-03-06,5131.320352708838,5392.636161931924,5372.812350463221,6845.897262243719
2021-03-07,5076.230202383309,5511.377811259469,5306.787368178834,6911.914022526259
2021-03-08,5163.345024081155,5157.189727655391,5079.53068658137,6987.717756193172
2021-03-09,5212.354090827029,4914.651987764631,4902.557585551381,7195.509700363201
2021-03-10,5219.1483565794215,4434.555509797356,4669.2605986439385,7478.788207766389
2021-03-11,5005.041423866735,4091.1552634574687,4397.5514537262925,7806.153405461213
2021-03-12,4896.703721996492,3937.862359115937,4325.564611655436,8281.455955470721
2021-03-13,5127.57678080567,3957.4011692657687,4525.130023455212,9052.180109489953
2021-03-14,5351.312941857758,3956.2695779443497,4642.536823636159,9295.404522116363
2021-03-15,5745.26868284316,3858.1983300880556,5264.635973548169,9670.43590499803
2021-03-16,6266.762208036067,4278.848543970131,5799.189919227259,10005.911603784532
2021-03-17,6789.580576980467,4356.551148040887,6481.404488652855,10354.391290354897
2021-03-18,7487.537198636718,4696.933817523656,7160.768870724392,10372.968415760417
2021-03-19,8137.241081972278,5037.241047584999,7810.010171769548,10285.610616292512
2021-03-20,8798.650289794215,5179.067159869487,8273.204839565831,10277.77197557262
2021-03-21,9022.965118232012,6949.026865411319,8800.54179708235,10514.562359400046
2021-03-22,8982.963466187388,6895.163118511786,8784.434316255743,10364.58605429695
2021-03-23,8905.419498487403,6515.702828729353,8764.116925667637,10119.594549253918
2021-03-24,8905.975323739467,7155.353683016678,8729.548598309237,9715.247556281101
2021-03-25,8652.635757481585,7470.011509792527,8753.23914640811,9433.826761418462
2021-03-26,8547.945182950225,7643.748497341025,8667.419743692326,9276.691466524948
2021-03-27,8070.430379071274,7829.631231739417,8844.654329800669,9176.103128963356
2021-03-28,8206.663402153526,5980.611012541124,8753.317591931616,8988.066371809928
2021-03-29,8147.621562707163,6720.67173674901,8781.584128901684,8886.617143071006
2021-03-30,8164.60849609557,7278.470818787042,8858.617632984775,8851.003434366767
2021-03-31,8281.100839677594,7055.471889046114,8980.495828005576,8810.08844841266
2021-04-01,8479.45177620393,7027.106666589216,8567.34940420625,8580.547674499583
2021-04-02,7690.2941289419705,7007.7941747036675,8297.156872743057,7702.257433376198
2021-04-03,6836.7267408267335,6755.600188870136,7884.271934022086,6754.506867260956
2021-04-04,6041.449939762375,6658.434214070977,7305.997683242206,6363.481032505756
2021-04-05,5407.33200561824,5893.101283684739,6678.799574302292,5650.934998049175
2021-04-06,4917.167735728858,5370.155214346406,6158.653456440508,5124.160217647789
2021-04-07,4666.944851706292,5387.581720696255,5669.467171855838,5032.860442788956
2021-04-08,4474.926262229719,5232.478270240454,5755.312723079457,5200.82484249203
2021-04-09,4937.974381465921,5330.775836361032,5867.542118708996,5876.986897190972
2021-04-10,5646.28864172341,5661.80401758674,5793.437247503472,6733.528308571309
2021-04-11,5978.6289962049495,6198.253743360671,6203.550444393891,7158.763240109844
2021-04-12,6277.449788567754,6902.480742390294,6438.703975357646,8051.190220566211
2021-04-13,6481.3310594513805,7800.058978539672,6699.822974601955,8711.493753577512
2021-04-14,6329.803958885408,8176.350812622132,6836.762710135947,8855.126650005554
2021-04-15,6324.3167707805615,8506.398281369276,6810.53575677704,8888.837336107275
2021-04-16,6531.989835849498,8719.137449796008,6638.530872235776,8895.180744782332
2021-04-17,6682.945883074311,8600.999315839888,6699.195410413905,8555.763070604904
2021-04-18,6855.57150108505,8405.384896077292,6430.231858818976,8120.469305310208
2021-04-19,7132.458769117569,8332.66129382078,6785.197852684537,7695.460924081496
2021-04-20,7286.534036592545,8499.684172862191,7081.98341661633,7449.427287613275
2021-04-21,7441.292030062065,8607.487106082688,7393.229105381101,7393.559981210824
2021-04-22,7423.7137392137,9096.183678092746,7759.935779264757,7439.549694104974
2021-04-23,7305.683358632816,8941.381985322658,8071.6782896784,7539.911481356744
