,Israel cases,UK cases,Israel deaths,UK deaths
242,,-35.363641101476844,-74.22945868504608,-88.75910819406965
243,,-35.46202680077913,-69.60427476186788,-88.34851041658565
244,,-36.73781619903194,-70.48516998373732,-88.34851041658565
245,,-38.60649303270945,-71.58677301943777,-88.74744348448205
246,,-40.493801424076395,-72.46766824130721,-88.71322700302505
247,,-43.015283088929856,-69.16285913420583,-88.82754115698366
248,,-45.58739894334312,-66.96158909625959,-89.13548949009666
249,,-47.65950828322574,-65.85998606055912,-89.22647422488005
250,,-50.274359458772786,-71.58677301943777,-89.88747443484482
251,,-51.3359510889038,-67.84248431812901,-90.48004168189559
252,,-51.198185051757946,-64.9790908386897,-90.53680993522198
253,,-51.041298867123125,-64.09819561682025,-90.77632530542098
254,,-49.721585245890964,-71.36800123906141,-90.77632530542098
255,,-48.664993518041996,-73.3504994966313,-90.90152652166137
256,,-47.72706396617655,-73.79191512429334,-91.01584067561998
257,,-45.523621688175474,-73.79191512429334,-91.1643713110356
258,,-44.77148655075145,-78.19639123364053,-91.1760360206232
259,,-44.65209149006859,-78.63780686130256,-90.81131943418382
260,,-43.751913643381556,-78.63780686130256,-90.86808768751021
261,,-43.36030891904393,,-91.00417596603236
262,,-42.486612639492385,,-90.79887707729037
263,,-42.14349230959655,,
264,,-42.146831006560134,,
265,,-42.39324312879879,,
266,,-42.50213350879135,,
267,,-43.301792147384745,,
268,,-44.037461808564004,,
269,,-44.43312182823789,,
270,,-43.560158433385666,,
271,,-42.589525937603824,,
272,,-42.48542373764682,,
273,,-40.104085913630364,,
274,,-39.164495156446456,,
