,Black,Mixed,Other,South Asian,Unknown,White,All
2021-01-20,4.8325605358062855,4.752822469006675,4.3320790216368765,6.367442369377308,4.9851957758147565,10.278283404806714,9.108523808053771
2021-01-21,5.24643654473639,5.115821207739871,4.582941360928191,6.775161388778512,5.403279651270506,11.116308370894593,9.842715197083358
2021-01-22,5.761634896101666,5.549573937921063,4.974913766070869,7.293448277847843,5.955248246040263,12.26996734683316,10.847121336331993
2021-01-23,6.154902970977159,5.90949641615652,5.299466917529006,7.751844237513605,6.52015087374636,13.456518342401447,11.868906590686395
2021-01-24,6.374720934226344,6.118682130002768,5.487613671997491,7.998318446982131,6.748419076649875,13.912428605408225,12.271332196830674
2021-01-25,6.649493388287824,6.349401667333191,5.649106302916275,8.268979377940559,6.98682476482782,14.352365588080449,12.66506824542207
2021-01-26,6.99124162802679,6.623188851631956,5.88115396676074,8.593196620769483,7.281510974701731,14.914465820663352,13.165784943359709
2021-01-27,7.363901768847674,6.903128556926201,6.111633740984635,8.946783453979004,7.576197184575642,15.450789856320094,13.649427422947827
2021-01-28,7.739996565344325,7.204602085704617,6.368767638758231,9.349319604489516,7.944991907490204,16.23820788751626,14.337693738068532
2021-01-29,8.145285935085008,7.552219521949119,6.654123549702101,9.768556110314485,8.456760129619983,17.328769918083445,15.27673763519789
2021-01-30,8.4732955521209,7.835235487741102,6.923800564440263,10.175123381073314,8.96992662558072,18.413410389897322,16.20766365619232
2021-01-31,8.68280954834278,8.047497462085088,7.0884289746001885,10.453846552528375,9.298171407397568,19.059208620993367,16.767797109502528
2021-02-01,8.928387429160226,8.24745439443812,7.256193164001254,10.699744887675713,9.57607833130001,19.63444575702899,17.26695121156443
2021-02-02,9.199725227545938,8.468945150275326,7.460018814675447,11.022234507541075,9.901526565454946,20.284324389955046,17.835240653104098
2021-02-03,9.493388287824146,8.708893469098964,7.671683913452493,11.364303854326833,10.31191993484044,21.094134870218344,18.537494106917382
2021-02-04,9.860896445131376,9.007290737379641,7.920978363123236,11.763384758910215,10.732800357958102,21.948879531609677,19.28235688241542
2021-02-05,10.20951399622188,9.30261174516258,8.198494825964252,12.157282794602905,11.165566108638886,22.757993357901995,19.993452342159713
2021-02-06,10.498025072986433,9.582551450456824,8.432110379429288,12.541966841156585,11.712640745000297,23.75848798222139,20.860388156437953
2021-02-07,10.652584578396015,9.745593256836989,8.570084666039511,12.756767962959763,12.018862713979592,24.27227028581722,21.31030143236685
2021-02-08,10.882706508672506,9.899406281723937,8.711194731890876,12.998635177858784,12.293973090220122,24.74748781601966,21.73071594712938
2021-02-09,11.15919629057187,10.120897037561141,8.91972405142678,13.330914661184343,12.680595804479369,25.4161761061621,22.320957955118434
2021-02-10,11.483771251931994,10.379302919371213,9.153339604891816,13.761092779111886,13.099728385308337,26.127310527536245,22.955867337896876
2021-02-11,11.899364588699983,10.708462792629279,9.454374412041393,14.275924422254088,13.600310416790473,26.982154710923435,23.71986238484907
2021-02-12,12.359608449252962,11.080690312855692,9.777359673878959,14.786724945147972,14.135849294046498,27.90661453041044,24.54277872994494
